ds,yhat,yhat_lower,yhat_upper
2022-12-06,28.33713193179141,9.626612172527468,46.343525156192094
2022-12-07,26.112247940582485,7.435904680844001,44.95859797599092
2022-12-08,25.944329754839956,6.721651441027765,42.96819200289894
2022-12-09,25.24950286090651,6.863707044126655,43.96701559599422
2022-12-10,25.702111023643766,7.669698456270233,44.96098010947376
2022-12-11,22.11768544285946,4.529344482719518,40.901060721315
2022-12-12,24.7433647200978,5.49885555330629,42.84446901190915
2022-12-13,26.281662000281138,7.634420347990738,43.999478652377164
2022-12-14,23.379472014173594,3.920347464303758,42.298264910821295
2022-12-16,21.961976931646497,3.0821172136986883,40.72276330709652
2022-12-17,22.595478048712486,3.944688308444785,39.789914592697556
2022-12-18,19.485836578140415,1.1902678776977191,37.60504442626188
2022-12-19,22.834649130043935,3.894528317007769,41.662360186770755
2022-12-20,25.27483926211515,7.853686138465524,42.94692322359514
2022-12-21,23.36729395399005,5.035214781231927,41.71032174756652
2022-12-22,23.768601584802333,5.563016507496012,41.474010653305314
2022-12-23,23.848261035966686,6.106216528884527,42.75611447776025
2022-12-24,25.217181545345774,6.822346975505213,44.40219401487436
2022-12-25,22.616750459990243,3.286856455104831,41.13224939505787
2022-12-26,26.216627054335127,7.994527592598792,45.61840603218507
2022-12-27,28.64611584227567,10.853790677637503,46.82490233465972
2022-12-28,26.490185875580636,9.476513958781053,43.74896300977478
2022-12-29,26.45332429038303,9.590264415073856,44.75643934428124
2022-12-30,25.97123182868173,7.39475254191631,43.03299936525252
2022-12-31,26.730634226575475,8.001083395966003,45.17845069252518
2023-01-01,23.54974325164492,5.81034604654032,41.08911817066193
2023-01-02,26.66739420578549,7.924592739577305,44.676679753443125
2023-01-03,28.76692329784673,10.544670881862324,46.78723524118636
2023-01-04,26.46667651806532,7.31610065619603,44.71214754944013
2023-01-05,26.480918817659614,7.281156968510131,44.47831233094578
2023-01-06,26.23142642650148,8.37901274052716,43.780777991849746
2023-01-07,27.369981038597416,9.591449757417635,46.1760560336648
2023-01-08,24.66392740922037,6.19448968210213,43.66375373358755
2023-01-09,28.2921807126567,9.014527711878328,46.28614930782363
2023-01-10,30.87691651015731,11.749819264486726,50.564788608281695
2023-01-11,28.981912207053036,9.956901369130218,47.06994405366167
2023-01-12,29.28039994313437,10.300770653958354,47.66646435543331
2023-01-13,29.17192089457445,10.808989203808807,49.898257456168736
2023-01-14,30.30780958691149,11.97091792786872,49.710943316146476
2023-01-15,27.477144322281696,9.626523409217969,47.28033743437745
2023-01-16,30.900520231892177,12.935615867901632,49.484761576769706
2023-01-17,33.25714080926975,15.150497391155604,51.92058994015325
